"Lineage for Asset:"
"app-sf-alpha","CustomerManagement","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/d05dbccd-b1a9-4ef9-bedd-cce72c3e6b80"
"Downstream(callsTo)"
"Source Type","Source Asset","Source Context","Source URL","Target Type","Target Asset","Target Context","Target URL"
"app-sf-alpha","customerapi-rs-2.0-1 (/customerapi-rs/v2)","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/827938d9-be66-41e4-8b28-c6b24b853a30","app-sf-alpha","nameapi-rs-1 (/nameapi-rs)",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/nameapi-rs-1 (/nameapi-rs)"
"app-sf-alpha","customerapi-rs-2.0-1 (/customerapi-rs/v2)","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/827938d9-be66-41e4-8b28-c6b24b853a30","app-sf-alpha","driverslicenseapi-rs-1 (/driverslicenseapi-rs)",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/driverslicenseapi-rs-1 (/driverslicenseapi-rs)"
"app-sf-alpha","customerapi-rs-2.0-1 (/customerapi-rs/v2)","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/827938d9-be66-41e4-8b28-c6b24b853a30","app-sf-alpha","taxidentificationapi-rs-1 (/taxidentificationapi-rs)",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/taxidentificationapi-rs-1 (/taxidentificationapi-rs)"
"app-sf-alpha","customerapi-rs-2.0-1 (/customerapi-rs/v2)","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/827938d9-be66-41e4-8b28-c6b24b853a30","app-sf-alpha","profileapi-rs-1 (/profileapi-rs)",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/profileapi-rs-1 (/profileapi-rs)"
"app-sf-alpha","customerapi-rs-2.0-1 (/customerapi-rs/v2)","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/827938d9-be66-41e4-8b28-c6b24b853a30","app-sf-alpha","customercontactapi-rs-1 (/customercontactapi-rs)",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/customercontactapi-rs-1 (/customercontactapi-rs)"
"app-sf-alpha","CustomerRetrievalService","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/2b9f37fa-7eb0-45ab-b38c-11f1e2c9de0a","app-sf-alpha","EavsRetrieval",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/EavsRetrieval"
"app-sf-alpha","CustomerRetrievalService","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/2b9f37fa-7eb0-45ab-b38c-11f1e2c9de0a","app-sf-alpha","Requests to unmonitored hosts",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/Requests to unmonitored hosts"
"app-sf-alpha","CustomerRetrievalService","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/2b9f37fa-7eb0-45ab-b38c-11f1e2c9de0a","app-sf-alpha","CustomerRetrievalIntegrationService",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/CustomerRetrievalIntegrationService"
"app-sf-alpha","CustomerRetrievalService","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/2b9f37fa-7eb0-45ab-b38c-11f1e2c9de0a","app-sf-alpha","cromsvcs",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/cromsvcs"
"app-sf-alpha","CustomerRetrievalService","","https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/2b9f37fa-7eb0-45ab-b38c-11f1e2c9de0a","app-sf-alpha","IdentityController",,"https://dev01cpd-cpd-dev01cpd.cluster-sf-dev-01-2a8a2e824cd262d2e4372bd5544b8039-0000.us-south.containers.appdomain.cloud/data/catalogs/88ab6caa-0e69-4791-8904-133383879e1b/asset/IdentityController"
